1;Bonaire, Sint Eustatius and Saba;Bonaire, Sint Eustatius and Saba
2;Австралия;Australia
3;Австрия;Austria
4;Азербайджан;Azerbaijan
5;Албания;Albania
6;Алжир;Algeria
7;Американска Самоа;American Samoa
8;Американски Вирджински острови;Virgin Islands, U.S.
9;Ангола;Angola
10;Ангуила;Anguilla
11;Андора;Andorra
12;Антарктида;Antarctica
13;Антигуа и Барбуда;Antigua and Barbuda
14;Аржентина;Argentina
15;Армения;Armenia
16;Аруба;Aruba
17;Афганистан;Afghanistan
18;Бангладеш;Bangladesh
19;Барбадос;Barbados
20;Бахамски острови;Bahamas
21;Бахрейн;Bahrain
22;Беларус;Belarus
23;Белгия;Belgium
24;Белиз;Belize
25;Бенин;Benin
26;Бермудски острови;Bermuda
27;Боливия;Bolivia, Plurinational State of
28;Босна и Херцеговина;Bosnia and Herzegovina
29;Ботсвана;Botswana
30;Бразилия;Brazil
31;Британска индоокеанска територия;British Indian Ocean Territory
32;Британски Вирджински острови;Virgin Islands, British
33;Бруней;Brunei Darussalam
34;Буве;Bouvet Island
35;Буркина Фасо;Burkina Faso
36;Бурунди;Burundi
37;Бутан;Bhutan
38;България;Bulgaria
39;Вануату;Vanuatu
40;Ватикан;Holy See
41;Великобритания;United Kingdom of Great Britain and Northern Ireland
42;Венецуела;Venezuela, Bolivarian Republic of
43;Виетнам;Viet Nam
44;Габон;Gabon
45;Гамбия;Gambia
46;Гана;Ghana
47;Гваделупа;Guadeloupe
48;Гватемала;Guatemala
49;Гвиана;Guyana
50;Гвинея;Guinea
51;Гвинея-Бисау;Guinea-Bissau
52;Германия;Germany
53;Гибралтар;Gibraltar
54;Гренада;Grenada
55;Гренландия;Greenland
56;Грузия;Georgia
57;Гуам;Guam
58;Гърнси;Guernsey
59;Гърция;Greece
60;Дания;Denmark
61;Демократична република Конго;Congo, the Democratic Republic of the
62;Джибути;Djibouti
63;Джърси;Jersey
64;Доминика;Dominica
65;Доминиканска република;Dominican Republic
66;Египет;Egypt
67;Еквадор;Ecuador
68;Екваториална Гвинея;Equatorial Guinea
69;Еритрея;Eritrea
70;Естония;Estonia
71;Етиопия;Ethiopia
72;Замбия;Zambia
73;Западна Сахара;Western Sahara
74;Зимбабве;Zimbabwe
75;Израел;Israel
76;Източен Тимор;Timor-Leste
77;Индия;India
78;Индонезия;Indonesia
79;Ирак;Iraq
80;Иран;Iran, Islamic Republic of
81;Ирландия;Ireland
82;Исландия;Iceland
83;Испания;Spain
84;Италия;Italy
85;Йемен;Yemen
86;Йордания;Jordan
87;Кабо Верде;Cabo Verde
88;Казахстан;Kazakhstan
89;Кайманови острови;Cayman Islands
90;Камбоджа;Cambodia
91;Камерун;Cameroon
92;Канада;Canada
93;Катар;Qatar
94;Кения;Kenya
95;Кипър;Cyprus
96;Киргизстан;Kyrgyzstan
97;Кирибати;Kiribati
98;Китай;China
99;Кокосови острови;Cocos (Keeling) Islands
100;Коледен остров;Christmas Island
101;Колумбия;Colombia
102;Коморски острови;Comoros
